SDG,SDG Indicator,Budget %,Budget ,Exp,Indicator-Budget Ratio_RAW,Colour,Indicator-Budget Ratio
1,0.603747795,0.086318774,A,15072397,6.994397208,#E5243B,20.78740947
2,0.414634066,0.011770027,A,2055202,35.22796256,#DDA63A,35.89831267
3,0.478181677,0.105567045,A,18433399,4.529649168,#4C9F38,17.10124372
4,0.800022005,0.031574796,A,5513376,25.33736106,#C5192D,32.70988504
5,0.029432721,0.045820357,A,8000839,0.642350305,#FF3A21,4.961283289
6,0.335868788,0.094912094,A,16572904,3.538735411,#26BDE2,15.1264843
7,0.234909702,0.038474143,A,6718093,6.10565134,#FCC30B,19.60890431
8,0.242232053,0.093920737,A,16399800,2.579111494,#A21942,12.75114584
9,0.44262712,0.042167821,A,7363058,10.49679842,#FD6925,24.42068598
10,0.419471192,0.096641185,A,16874826,4.34050135,#DD1367,16.75319534
11,0.984449037,0.022137829,A,3865557,44.46908727,#FD9D24,38.17032694
12,0.819943236,0.111665129,A,19498205,7.342876341,#BF8B2E,21.21408042
13,0.405432413,0.0317745,A,5548247,12.75967869,#3F7E44,26.21742481
14,0.892535398,0.023679774,A,4134801,37.69188831,#0A97D9,36.55629974
15,0.034111517,0.039704903,A,6933000,0.859126048,#56C02B,6.201065104
16,0.846053535,0.109784916,A,19169895,7.706464266,#00689D,21.64065769
17,0.522353379,0.014085969,A,2459596,37.08324151,#19486A,36.3977433
