SDG,SDG Indicator,Budget %,Budget ,Exp,Indicator-Budget Ratio_RAW,Colour,Indicator-Budget Ratio
1,0.845094769,0.041473926,B,8024277,20.3765316,#E5243B,30.62293666
2,0.969328718,0.095414978,B,18460664,10.15908333,#DDA63A,24.12253815
3,0.505423879,0.059249862,B,11463523,8.530380653,#4C9F38,22.54484659
4,0.532049347,0.016360729,B,3165435,32.51990556,#C5192D,35.12139458
5,0.87041543,0.081545117,B,15777156,10.674035,#FF3A21,24.57367145
6,0.171104118,0.03895227,B,7536393,4.392660972,#26BDE2,16.8503895
7,0.071353985,0.062941044,B,12177684,1.133663841,#FCC30B,7.578406154
8,0.85190748,0.077726138,B,15038269,10.96037324,#A21942,24.81598955
9,0.853907594,0.053430058,B,10337521,15.9817831,#FD6925,28.32141187
10,0.242528639,0.084822048,B,16411169,2.859264105,#DD1367,13.50476519
11,0.185401618,0.020095305,B,3887992,9.22611618,#FD9D24,23.24944858
12,0.323188065,0.038220935,B,7394896,8.455786411,#BF8B2E,22.46626873
13,0.527411475,0.077625501,B,15018798,6.794306885,#3F7E44,20.53393581
14,0.436884357,0.049741409,B,9623850,8.783111784,#0A97D9,22.80657612
15,0.275985089,0.047473871,B,9185132,5.813410334,#56C02B,19.18892778
16,0.034346604,0.055749659,B,10786312,0.616086355,#00689D,4.800073964
17,0.957621359,0.09917715,B,19188560,9.655665246,#19486A,23.66091699
