SDG,SDG Indicator,Budget %,Budget ,Exp,Indicator-Budget Ratio_RAW,Colour,Indicator-Budget Ratio
1,0.204720597,0.011600311,B,2318086,17.6478539,#E5243B,29.25731067
2,0.563543874,0.021874007,B,4371075,25.76317471,#DDA63A,32.87026865
3,0.555998164,0.08139717,B,16265567,6.830681801,#4C9F38,20.58049582
4,0.168884478,0.090234437,B,18031515,1.8716189,#C5192D,10.54875947
5,0.476210284,0.033078852,B,6610135,14.39621569,#FF3A21,27.34121745
6,0.561102447,0.074275994,B,14842545,7.554290689,#26BDE2,21.46432992
7,0.745275915,0.030995892,B,6193898,24.04434446,#FCC30B,32.20648032
8,0.139284411,0.09806193,B,19595680,1.420371915,#A21942,8.839212122
9,0.557424359,0.087145331,B,17414220,6.396491399,#FD6925,20.01005753
10,0.985070161,0.034434041,B,6880942,28.60745152,#DD1367,33.8802607
11,0.237960843,0.086335171,B,17252326,2.756244539,#FD9D24,13.23419665
12,0.709576168,0.058139063,B,11617908,12.20480911,#BF8B2E,25.8058109
13,0.048519139,0.076852588,B,15357425,0.631327329,#3F7E44,4.893939955
14,0.071117984,0.017537078,B,3504428,4.055292631,#0A97D9,16.2043574
15,0.719636552,0.076523353,B,15291634,9.404142965,#56C02B,23.42204089
16,0.474677078,0.096295725,B,19242740,4.929368124,#00689D,17.79917652
17,0.102334863,0.025219057,B,5039515,4.057838631,#19486A,16.20939244
