ID_RAMO,DESC_RAMO,ID_MODALIDAD,DESC_MODALIDAD,ID_PP,DESC_PP,ID_ODS,DESC_ODS,ID_METAODS,DESC_METAODS,ID_SM1,DESC_SM1,ID_SM2,DESC_SM2,ID_SM3,DESC_SM3,ID_SM4,DESC_SM4,ID_SM5,DESC_SM5,ID_SM6,DESC_SM6,ID_TCONTRIBUCION,DESC_TCONTRIBUCION,colour
16,Medio Ambiente y Recursos Naturales,G,Regulacin y supervisin,10,Gestin integral y sustentable del agua,14,"Conservar y utilizar en forma sostenible los ocanos, los mares y los recursos marinos para el desarrollo sostenible.",1,"Para 2025, prevenir y reducir de manera significativa la contaminacin marina de todo tipo, en particular la contaminacin producida por actividades realizadas en tierra firme, incluidos los detritos marinos y la contaminacin por nutrientes",2,Contaminacin por actividades realizadas en tierra firme,2,Contaminacin por detrimentos marinos,2,Contaminacin por nutrientes,1,No aplica,1,No aplica,1,No aplica,1,1-Contribucin Directa,#0A97D9
16,Medio Ambiente y Recursos Naturales,G,Regulacin y supervisin,10,Gestin integral y sustentable del agua,6,Garantizar la disponibilidad de agua y su gestin sostenible y el saneamiento para todos,1,"Para 2030, lograr el acceso universal y equitativo al agua potable, a un precio asequible para todos",2,Acceso universal y equitativo,2,Precio asequible,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,1-Contribucin Directa,#26BDE2
16,Medio Ambiente y Recursos Naturales,G,Regulacin y supervisin,10,Gestin integral y sustentable del agua,6,Garantizar la disponibilidad de agua y su gestin sostenible y el saneamiento para todos,2,"Para 2030, lograr el acceso equitativo a servicios de saneamiento e higiene adecuados para todos y poner fin a la defecacin al aire libre, prestando especial atencin a las necesidades de las mujeres y las nias y las personas en situaciones vulnerables",2,Acceso equitativo,2,Fin a la defecacin al aire libre,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,1-Contribucin Directa,#26BDE2
16,Medio Ambiente y Recursos Naturales,G,Regulacin y supervisin,10,Gestin integral y sustentable del agua,6,Garantizar la disponibilidad de agua y su gestin sostenible y el saneamiento para todos,6,"Para 2020, proteger y restablecer los ecosistemas relacionados con el agua, incluidos los bosques, las montaas, los humedales, los ros, los acuferos y los lagos",2,Bosques,2,Montaas,2,Humedales,2,Ros y lagos,2,Acuferos,1,No aplica,1,1-Contribucin Directa,#26BDE2
16,Medio Ambiente y Recursos Naturales,G,Regulacin y supervisin,13,Sistema Nacional de reas Naturales Protegidas,11,"Lograr que las ciudades y los asentamientos humanos sean inclusivos, seguros, resilientes y sostenibles.",4,Redoblar los esfuerzos para proteger y salvaguardar el patrimonio cultural y natural del mundo.,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,1-Contribucin Directa,#FD9D24
16,Medio Ambiente y Recursos Naturales,G,Regulacin y supervisin,13,Sistema Nacional de reas Naturales Protegidas,14,"Conservar y utilizar en forma sostenible los ocanos, los mares y los recursos marinos para el desarrollo sostenible.",2,"Para 2020, gestionar y proteger de manera sostenible los ecosistemas marinos y costeros con miras a evitar efectos nocivos importantes, incluso mediante el fortalecimiento de su resiliencia, y adoptar medidas para restaurarlos con objeto de restablecer la salud y la productividad de los ocanos",2,Fortalecimiento de su resiliencia,2,Medidas de restauracin,2,Restablecimiento de la salud y productividad de los ocanos,1,No aplica,1,No aplica,1,No aplica,1,1-Contribucin Directa,#0A97D9
16,Medio Ambiente y Recursos Naturales,G,Regulacin y supervisin,13,Sistema Nacional de reas Naturales Protegidas,14,"Conservar y utilizar en forma sostenible los ocanos, los mares y los recursos marinos para el desarrollo sostenible.",5,"Para 2020, conservar por lo menos el 10% de las zonas costeras y marinas, de conformidad con las leyes nacionales y el derecho internacional y sobre la base de la mejor informacin cientfica disponible",1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,1-Contribucin Directa,#0A97D9
16,Medio Ambiente y Recursos Naturales,G,Regulacin y supervisin,13,Sistema Nacional de reas Naturales Protegidas,15,"Promover el uso sostenible de los ecosistemas terrestres, luchar contra la desertificacin, detener e invertir la degradacin de las tierras y frenar la prdida de la diversidad biolgica.",1,"Para 2020, velar por la conservacin, el restablecimiento y el uso sostenible de los ecosistemas terrestres y los ecosistemas interiores de agua dulce y los servicios que proporcionan, en particular los bosques, los humedales, las montaas y las zonas ridas, en consonancia con las obligaciones contradas en virtud de acuerdos internacionales",2,Conservacin,2,Restablecimiento,2,Uso sostenible,1,No aplica,1,No aplica,1,No aplica,1,1-Contribucin Directa,#56C02B
16,Medio Ambiente y Recursos Naturales,G,Regulacin y supervisin,13,Sistema Nacional de reas Naturales Protegidas,15,"Promover el uso sostenible de los ecosistemas terrestres, luchar contra la desertificacin, detener e invertir la degradacin de las tierras y frenar la prdida de la diversidad biolgica.",12,"Aumentar el apoyo mundial a la lucha contra la caza furtiva y el trfico de especies protegidas, en particular aumentando la capacidad de las comunidades locales para promover oportunidades de subsistencia sostenibles",2,Caza furtiva,2,Trfico de especies protegidas,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,1-Contribucin Directa,#56C02B
16,Medio Ambiente y Recursos Naturales,G,Regulacin y supervisin,13,Sistema Nacional de reas Naturales Protegidas,15,"Promover el uso sostenible de los ecosistemas terrestres, luchar contra la desertificacin, detener e invertir la degradacin de las tierras y frenar la prdida de la diversidad biolgica.",3,"Para 2030, luchar contra la desertificacin, rehabilitar las tierras y los suelos degradados, incluidas las tierras afectadas por la desertificacin, la sequa y las inundaciones, y procurar lograr un mundo con una degradacin neutra del suelo",2,Luchar contra la desertificacin,2,Rehabilitar las tierras y suelos degradados,2,"Rehabilitar tierras afectadas por desertificacin, sequa e inundaciones",1,No aplica,1,No aplica,1,No aplica,1,1-Contribucin Directa,#56C02B
